Name,Country,Type,Lat,Lon,Elv
Sarychev Peak,Russia,Stratovolcano,48.09,153.2,1496.0
Segula,United States,Stratovolcano,52.02,178.14,1160.0
Semisopochnoi,United States,Stratovolcano,51.93,179.58,1221.0
Shasta,United States,Stratovolcano,41.41,-122.19,4317.0
Shikotsu,Japan,Caldera,42.69,141.38,1320.0
Shishaldin,United States,Stratovolcano,54.76,-163.97,2857.0
Smirnov,Russia,Stratovolcano,44.42,146.14,1189.0
Soputan,Indonesia,Stratovolcano,1.11,124.73,1784.0
Soufrière Hills,United Kingdom,Stratovolcano,16.72,-62.18,915.0
South Island,Kenya,,2.63,36.6,800.0
Spurr,United States,Stratovolcano,61.3,-152.25,3374.0
Steller,United States,Stratovolcano,58.4,-154.4,2272.0
Sumaco,Ecuador,Stratovolcano,-0.54,-77.63,3990.0
Sundoro,Indonesia,Stratovolcano,-7.3,109.99,3136.0
Suswa,Kenya,Shield,-1.18,36.35,2356.0
Taal,Philippines,Caldera,14.0,120.99,311.0
Tambora,Indonesia,Stratovolcano,-8.25,118.0,2850.0
